text,Tag,sentiment,temp_list
জয় বাংলা কাপ! তাও আবার স্বাধীনতার মাস মার্চে। যার মাথা থেকে এমন চমৎকার আইডিয়া এসেছে তালে স্যালুট,positive,1,"['জয়', 'বাংলা', 'কাপ', 'স্বাধীনতার', 'মাস', 'মার্চে', 'মাথা', 'চমৎকার', 'আইডিয়া', 'এসেছে', 'তালে', 'স্যালুট']"
জয় বাংলা কাপ! তাও আবার স্বাধীনতার মাস মার্চে। যার মাথা থেকে এমন চমৎকার আইডিয়া এসেছে তালে স্যালুট,positive,1,"['জয়', 'বাংলা', 'কাপ', 'স্বাধীনতার', 'মাস', 'মার্চে', 'মাথা', 'চমৎকার', 'আইডিয়া', 'এসেছে', 'তালে', 'স্যালুট']"
বাংলাদেশের পরে ভারতের সাপর্ট ই করি ?,positive,1,"['বাংলাদেশের', 'ভারতের', 'সাপর্ট']"
 সৌম্যকে বাদ দেওয়া হোক,negative,0,"['সৌম্যকে', 'বাদ']"
"প্রথমটি হচ্ছে, কোচ অত:পর সাকিব,সাকিব আর সাকিবরে দলে রাখা",positive,1,"['প্রথমটি', 'হচ্ছে', 'কোচ', 'অতপর', 'সাকিবসাকিব', 'সাকিবরে', 'দলে']"
"প্রথমটি হচ্ছে, কোচ অত:পর সাকিব,সাকিব আর সাকিবরে দলে রাখা",positive,1,"['প্রথমটি', 'হচ্ছে', 'কোচ', 'অতপর', 'সাকিবসাকিব', 'সাকিবরে', 'দলে']"
 মুসফিক আর তামিমের বেটিং তান্ড়বে কুহিলির জিব্বহাটা শুকিয়ে গেছে গরুর মুত খাওয়ার জন্য,negative,0,"['মুসফিক', 'তামিমের', 'বেটিং', 'তান্ড়বে', 'কুহিলির', 'জিব্বহাটা', 'শুকিয়ে', 'গরুর', 'মুত', 'খাওয়ার']"
 সত্যি সত্যিই ছিলো বাঘ আমাদেরই চাপে হয়ে গেলো বেড়াল l,negative,0,"['সত্যি', 'সত্যিই', 'ছিলো', 'বাঘ', 'আমাদেরই', 'চাপে', 'হয়ে', 'গেলো', 'বেড়াল', 'l']"
",বাংলাদেশ জিদবে ইনশা আল্লাহ",positive,1,"['বাংলাদেশ', 'জিদবে', 'ইনশা', 'আল্লাহ']"
"ক্রিকেটে ভারত একটা অসভ্য দল,বিরাট কোহলির আচরনে স্পষ্ট ফুটে উঠে।",negative,0,"['ক্রিকেটে', 'ভারত', 'একটা', 'অসভ্য', 'দলবিরাট', 'কোহলির', 'আচরনে', 'ফুটে', 'উঠে']"
",বাংলাদেশ জিদবে ইনশা আল্লাহ",positive,1,"['বাংলাদেশ', 'জিদবে', 'ইনশা', 'আল্লাহ']"
স্পিনারের সামনে নই রাজ্জাকের সামনে ধরাশায়ী র্রীলংকা,positive,1,"['স্পিনারের', 'নই', 'রাজ্জাকের', 'ধরাশায়ী', 'র্রীলংকা']"
স্পিনারের সামনে নই রাজ্জাকের সামনে ধরাশায়ী র্রীলংকা,positive,1,"['স্পিনারের', 'নই', 'রাজ্জাকের', 'ধরাশায়ী', 'র্রীলংকা']"
দেশের এই ভয়ানক পরিস্থিতিতে আওয়ামী দালাল বিবিসি আছে খেলাধুলা নিয়া!,negative,0,"['দেশের', 'ভয়ানক', 'পরিস্থিতিতে', 'আওয়ামী', 'দালাল', 'বিবিসি', 'খেলাধুলা', 'নিয়া']"
আসলে রাজ্জাক অসাধারণ ক্রিকেটার। শুভ কামনা রইল,positive,1,"['আসলে', 'রাজ্জাক', 'অসাধারণ', 'ক্রিকেটার', 'শুভ', 'কামনা', 'রইল']"
আসলে রাজ্জাক অসাধারণ ক্রিকেটার। শুভ কামনা রইল,positive,1,"['আসলে', 'রাজ্জাক', 'অসাধারণ', 'ক্রিকেটার', 'শুভ', 'কামনা', 'রইল']"
 টাইগার ইজ টাইগার,positive,1,"['টাইগার', 'ইজ', 'টাইগার']"
আরো একবার বিশ্বকে দেখিয়ে দিলাম আমরাওহোয়াইট ওয়াশ করতে পারি!,positive,1,"['আরো', 'বিশ্বকে', 'দেখিয়ে', 'দিলাম', 'আমরাওহোয়াইট', 'ওয়াশ', 'পারি']"
বাংলার সচীন লিটল মাস্টার মমিন।,positive,1,"['বাংলার', 'সচীন', 'লিটল', 'মাস্টার', 'মমিন']"
আমরা বাঙালিরা অলপতে খুশি।একবার ভাল খেললে দেমাগ বেড়ে যায।মুমিনুলের আউট এর প্রমাণ।,negative,0,"['বাঙালিরা', 'অলপতে', 'খুশিএকবার', 'ভাল', 'খেললে', 'দেমাগ', 'বেড়ে', 'যাযমুমিনুলের', 'আউট', 'প্রমাণ']"
জরিমানা করা হউক। ৩ মাসের বেতন কর্তন।,negative,0,"['জরিমানা', 'হউক', '৩', 'মাসের', 'বেতন', 'কর্তন']"
 নিজেদের মাঠ সম্পর্কে ধারনা নাই দলের ?,negative,0,"['মাঠ', 'সম্পর্কে', 'ধারনা', 'দলের']"
 টেষ্ট ক্রিকেটে রান আউট খুবই দুঃখজনক।,negative,0,"['টেষ্ট', 'ক্রিকেটে', 'রান', 'আউট', 'খুবই', 'দুঃখজনক']"
মুশি কি করলো,negative,0,"['মুশি', 'করলো']"
ব্যাট ধরার আগেই তিন জন আউট হাইরে শেখ হাসিনার বাংলাদেশ,negative,0,"['ব্যাট', 'ধরার', 'তিন', 'আউট', 'হাইরে', 'শেখ', 'হাসিনার', 'বাংলাদেশ']"
সিনিয়রদের এই ভুল গুলো মেনে নেওয়া যায়না।।।।।,negative,0,"['সিনিয়রদের', 'ভুল', 'গুলো', 'মেনে', 'যায়না']"
সিনিয়রদের এই ভুল গুলো মেনে নেওয়া যায়না।।।।।,negative,0,"['সিনিয়রদের', 'ভুল', 'গুলো', 'মেনে', 'যায়না']"
 নিজের মাটিতে সালারা এটা খেলা,negative,0,"['মাটিতে', 'সালারা', 'খেলা']"
তামিম ত টেস্টে খেলা জানে না,negative,0,"['তামিম', 'ত', 'টেস্টে', 'খেলা', 'জানে']"
দুই ইনিংসে বড় জোর 200 ইনিংস পরাজয় কাছাকাছি।,negative,0,"['ইনিংসে', 'বড়', 'জোর', '200', 'ইনিংস', 'পরাজয়', 'কাছাকাছি']"
" বাংলাদেশ উপেক্ষা করেনি, করেছে হাতুরাসিংহে। ",neutral,2,"['বাংলাদেশ', 'উপেক্ষা', 'করেনি', 'হাতুরাসিংহে']"
মুমিনুল আর রাজ্জাকের মতো বাংলাদেশের সেরা টেস্ট ব্যাটসম্যান আর সেরা স্পিনারের ক্যারিয়ার শেষ করে দিতে চেয়েছিল সে।,negative,0,"['মুমিনুল', 'রাজ্জাকের', 'বাংলাদেশের', 'সেরা', 'টেস্ট', 'ব্যাটসম্যান', 'সেরা', 'স্পিনারের', 'ক্যারিয়ার', 'শেষ', 'চেয়েছিল', 'সে']"
" মুমিনুলের পর, রাজের রাজসিক প্রত্যাবর্তন।",positive,1,"['মুমিনুলের', 'পর', 'রাজের', 'রাজসিক', 'প্রত্যাবর্তন']"
পাপনের মতো আবাল থাকলে যারা প্রতিভা তারা কখনোই নিয়মিত সুযোগ পাবেনা।,negative,0,"['পাপনের', 'আবাল', 'থাকলে', 'প্রতিভা', 'কখনোই', 'নিয়মিত', 'সুযোগ', 'পাবেনা']"
ইমরুল খারাপ ফর্মে থাকা অবস্থায় তাকে নেওয়া হয়তেছে অথচ শাহরিয়ার নাফিসকে সুযোগ দেওয়া হয়তেছে না।,negative,0,"['ইমরুল', 'খারাপ', 'ফর্মে', 'অবস্থায়', 'হয়তেছে', 'শাহরিয়ার', 'নাফিসকে', 'সুযোগ', 'হয়তেছে', 'না']"
ইমরুল খারাপ ফর্মে থাকা অবস্থায় তাকে নেওয়া হয়তেছে অথচ শাহরিয়ার নাফিসকে সুযোগ দেওয়া হয়তেছে না।,negative,0,"['ইমরুল', 'খারাপ', 'ফর্মে', 'অবস্থায়', 'হয়তেছে', 'শাহরিয়ার', 'নাফিসকে', 'সুযোগ', 'হয়তেছে', 'না']"
"ভাই থামেন ত্রকটু জিরা পানি খান,খেলা ত্রখনো অনেক বাকি?ত্রতটা হাওয়া দিয়েন না,যেন আকাশে ওঠে যায়.",neutral,2,"['ভাই', 'থামেন', 'ত্রকটু', 'জিরা', 'পানি', 'খানখেলা', 'ত্রখনো', 'বাকিত্রতটা', 'হাওয়া', 'দিয়েন', 'নাযেন', 'আকাশে', 'ওঠে', 'যায়']"
বাংলাদেশ ক্রিকেট দলে যদি প্রতিভাবান ও যোগ্য ব্যক্তিরা সুযোগ পেতো তবে দেশের ক্রিকেট আরো অনেক আগেই পৃথিবীর অন্যতম সেরা দল হতো।,positive,1,"['বাংলাদেশ', 'ক্রিকেট', 'দলে', 'প্রতিভাবান', 'যোগ্য', 'ব্যক্তিরা', 'সুযোগ', 'পেতো', 'দেশের', 'ক্রিকেট', 'আরো', 'পৃথিবীর', 'অন্যতম', 'সেরা', 'দল', 'হতো']"
সানজামুল ইসালামের ২০০ রানের বিনিনয়ে কেনা একমাত্র উইকেটটি নাকি তার গুরু নান্নুকে উপহার দিয়েছে?,negative,0,"['সানজামুল', 'ইসালামের', '২০০', 'রানের', 'বিনিনয়ে', 'কেনা', 'একমাত্র', 'উইকেটটি', 'গুরু', 'নান্নুকে', 'উপহার', 'দিয়েছে']"
খন আবার একটা ম্যাচ ভালো না খেলুক তখন আবার জোর গলায় বলবে এই রাজ্জাক কে বাদ দেও খেলতে পারে না,negative,0,"['খন', 'একটা', 'ম্যাচ', 'ভালো', 'খেলুক', 'জোর', 'গলায়', 'বলবে', 'রাজ্জাক', 'বাদ', 'দেও', 'খেলতে']"
" মাশরাফি থাকলে ভাল হত,দু খানা পেদে দিত, আর শ্রীলনকা পাদের গন্ধে পিনিক এ পরে ইন্নিস বাবধানে হারত",negative,0,"['মাশরাফি', 'থাকলে', 'ভাল', 'হতদু', 'খানা', 'পেদে', 'দিত', 'শ্রীলনকা', 'পাদের', 'গন্ধে', 'পিনিক', 'ইন্নিস', 'বাবধানে', 'হারত']"
 মাঝে মধ্যে উপেক্ষা দরকার আছে ও দুনিয়ার ঢিলে হয়ে গেছিল,neutral,2,"['মাঝে', 'উপেক্ষা', 'দরকার', 'দুনিয়ার', 'ঢিলে', 'হয়ে', 'গেছিল']"
 মিরপুর এর পিচ এ যে কেও বোলিং করতে পারে,neutral,2,"['মিরপুর', 'পিচ', 'কেও', 'বোলিং']"
হেরাথ বোলিং এর আগেই ৪ উইকেট নাই!! ফেব্রুয়ারি মাস লিটন এর মাস দেখা যাক কি হয় ,negative,0,"['হেরাথ', 'বোলিং', '৪', 'উইকেট', 'নাই', 'ফেব্রুয়ারি', 'মাস', 'লিটন', 'মাস', 'যাক']"
