text,Tag,sentiment
" স্টাফ কিন্তু, আমাদের জন্য ভয়ঙ্কর ছিল।",negative,0
"শুধুমাত্র,রিডামিং ফ্যাক্টর খাদ্য ছিল,পুরোপুরি ন্যায্য হওয়ার জন্য,  , যা গড়ের চেয়েও বেশি ছিল, কিন্তু অন্যান্য দুর্বলতাগুলির জন্য এটি তৈরি করা সম্ভব হয়নি",positive,1
"শুধুমাত্র,রিডামিং ফ্যাক্টর খাদ্য ছিল,পুরোপুরি ন্যায্য হওয়ার জন্য,  , যা গড়ের চেয়েও বেশি ছিল, কিন্তু অন্যান্য দুর্বলতাগুলির জন্য এটি তৈরি করা সম্ভব হয়নি",negative,0
"খাবার একদমই ব্যতিক্রমী, একটি খুব সক্ষম রান্নাঘর যা গর্বের সঙ্গে আপনি খাওয়া মত মনে আপ চাবুক যা কিনা মেনুতে বা না।",positive,1
"যেখানে গাব্রিয়েলা লোকালি আপনাকে শুভেচ্ছা জানায়, এবং আপনাকে কি খেতে পরামর্শ দেয়।",positive,1
"একবার গিয়ে এটি উপভোগ করবেন না, আমি বলতে পারেন যে তারা সব পবে না।",positive,1
" শুধুমাত্র খাদ্য অসামান্য ছিল না, কিন্তু সামান্য 'পারক্স' মহান ছিল।",positive,1
" শুধুমাত্র খাদ্য অসামান্য ছিল না, কিন্তু সামান্য 'পারক্স' মহান ছিল",positive,1
এটি খুব বেশি চিত্তাকর্ষক এবং খুব সুস্বাদু নয়।,negative,0
এটি খুব বেশি চিত্তাকর্ষক এবং খুব সুস্বাদু নয়।,negative,0
"আমাদের  প্রিয় সসেজ এবং মুরগির সঙ্গে orecchiette হয় (সাধারণত ওয়েটার অর্ধেক অর্ধেকে বিভক্ত করেন তাই, আপনি উভয় অর্ধেক মেট নমুনা পেতে পারেন)।",positive,1
আমাদের অনুমোদন প্রিয় সসেজ এবং মুরগির সঙ্গে orecchiette হয় (সাধারণত ওয়েটার অর্ধেক তাই আপনি উভয় মেট নমুনা পেতে অর্ধেক বিভক্ত বিভক্ত করা যথেষ্ট)।,positive,1
"Bagels একটি অসাধারণ জমিন সঙ্গে একটি অসামান্য স্বাদ আছে, উভয় chewy এখনও gummy না।",positive,1
"যাইহোক, খাদ্য গুলো বেশ ভাল।",positive,1
"আমি সব অভিনেতা মেগাডেথ দেখেছি, মি-স্ক্রুফ, সেন্ট জার্নাল, ঐতিহ্যগত ভিয়েতনামী গান, কালো বিশ্রামবার, জে-জেড, এবং ডাফ্ট।  ",neutral,2
"আমাদের টোস্ট ভুলে গেছি,তাদের পেঁয়াজ ছিল না, , বাম দিকের উপাদানগুলি (একটি omelet পনির), গরম তাপমাত্রা নিচে এবং বেসিন এত উপর রান্না করা ছিল, যখন এটি আমি প্লেট উপর করে crumbled  স্পর্শ করি।",negative,0
যেমন ভাল নকশা এবং বায়ুমণ্ডল ,positive,1
"তিনি পাখি বিশেষজ্ঞ ,থাইল্যান্ড গিয়েছিলেন",positive,1
আমি অবশ্যই মরিয়মের সুপারিশ করব এবং এটি আমার নিয়মিত প্রতিবেশী হান্টগুলির মধ্যে একটি।,positive,1
পিজাটি সেরা যদি আপনি পাতলার বিপরীতে পিজা পছন্দ করেন।,positive,1
"একটি মহান সময় ছিল,যখন আমার বান্ধবী এবং আমি অন্য রাতে এই hopping জায়গায় সম্মুখ দিকে ছিলাম।",positive,1
"তারা এত দ্রুত কিনছেন যে,তারা সাহায্য করতে পারবে না।",neutral,2
"দ্বিতীয়ত, এই রাতে জায়গাটি পূর্ব দিকের মহিলার সুগন্ধি দ্বারা পরিপূর্ণ ছিল।",negative,0
" নিছক সুবিধার পাশাপাশি কোন কারণে,আমি এখানে সমান্য একটু খানি খেয়ে আছে।",neutral,2
স্পষ্টতই জানেন একটি পাই যা লোকেরা দ্বারা চালিত,positive,1
আমরা খুব হতাশ ছিলাম,negative,0
এটি সুনির্দিষ্টভাবে বিশেষ আফগানিস্তান।,positive,1
এটি সুনির্দিষ্টভাবে বিশেষ আফগানিস্তান।,positive,1
আমি সত্যিই এই জায়গা পছন্দ করেছি।,positive,1
আমি খুব শীঘ্রই ফিরে যাচ্ছি।,positive,1
"কেউ শেফে গিয়েছিলে, সব টাকাতো অভ্যন্তর প্রসাধনের মধ্যে গিয়েছে। ",positive,1
"কেউ শেফে গিয়েছিলে, সব টাকাতো অভ্যন্তর প্রসাধনের মধ্যে গিয়েছে। ",negative,0
" আসনগুলি অস্বস্তিকর হয়, যদি আপনি কাঠের বেঞ্চে প্রাচীরের পাশে বসে থাকেন।",negative,0
 কোন বরফ জন্য জিজ্ঞাসা লেট সঙ্গে seltzer.,neutral,2
এটা চমত্কার ও খুব সস্তা ছিল  ,positive,1
ফিরে আসবে না,negative,0
একা যান না - টুকরা এবং খাবার এবং সিফুসের একটি নির্বাচন এমনকি দুইজন মানুষ সম্পূর্ণ অভিজ্ঞতার জন্য যথেষ্ট নয়।,positive,1
"আমার পরামর্শ আপনি পরিবারের স্টাইলে খান, কারণ আপনি অন্যান্য খাবার খাওয়ার চেষ্টা করেন।",neutral,2
"যদি সব সেরা উষ্ণ Vibe হয়, মালিক সুপার বন্ধুত্বপূর্ণ এবং পরিষেবা দ্রুত হয়,।",positive,1
"মালিক সুপার বন্ধুত্বপূর্ণ এবং পরিষেবা দ্রুত হয়,যদি সব সেরা উষ্ণ Vibe হয়।",positive,1
এটির মান একটি যুগ্ম মান নয়।,negative,0
ফ্যান এর একটি মহান ধারণা পেয়েছিলাম কিন্তু ডেলিভারি উপর একটু রুক্ষ।,positive,1
ফ্যান এর একটি মহান ধারণা পেয়েছিলাম কিন্তু ডেলিভারি উপর একটু রুক্ষ।,negative,0
"এই শহরতলির প্রতিবেশী স্পট একটি বীট মিস না,অবিশ্বাস্য খাদ্য থেকে, উষ্ণ বায়ুমণ্ডলে, বন্ধুত্বপূর্ণ পরিষেবাতে, ।",positive,1
"এই শহরতলির প্রতিবেশী স্পট একটি বীট মিস না,অবিশ্বাস্য খাদ্য থেকে, উষ্ণ বায়ুমণ্ডলে, বন্ধুত্বপূর্ণ পরিষেবাতে, ।",positive,1
